model,pthm_mean,ptrb_mean,pmag_mean,ptot_mean,sigsfr_mean,upsthm_mean,upstrb_mean,upsmag_mean,pthm_std,ptrb_std,pmag_std,ptot_std,sigsfr_std,upsthm_std,upstrb_std,upsmag_std
L0,4.4741554,5.266054,0.0,5.3317804,-0.8451469884778146,1.638684669664249,2.430583071869804,0.0,0.029277774,0.0838251,0.0,0.074403,0.07600597867734869,0.05938627365050902,0.09682641345806259,0.0
L1,4.8302546,5.9216037,0.0,5.955867,-0.1934905935606282,1.3431270910218336,2.434476918644874,0.0,0.03243658,0.07574475,0.0,0.070742995,0.062197800079859346,0.05709897968530523,0.10044720141296187,0.0
L2,5.0985484,6.393774,0.0,6.4154935,0.317527686408,1.1004032094526497,2.3956285319404795,0.0,0.027338056,0.07591172,0.0,0.07277397,0.06861365179347323,0.07168901315852681,0.10171473869928192,0.0
L3,5.3731527,6.8670115,0.0,6.880934,0.9137803564366778,0.7787542724742896,2.2726131382121353,0.0,0.029446142,0.08751271,0.0,0.0851895,0.04869811443852424,0.04497881767253766,0.0908181114459316,0.0
S0,5.229234,6.3548546,0.0,6.3870244,0.2693073477644513,1.2793079360105917,2.4049303717097796,0.0,0.039141886,0.11034296,0.0,0.103544734,0.05746408391024778,0.06244723924067124,0.1213678727594008,0.0
S1,5.5564733,6.8232307,0.0,6.8466635,0.8190731746495299,1.0567822812596082,2.3235394510242773,0.0,0.029438183,0.09711165,0.0,0.09197688,0.0656435574955644,0.06385591585550451,0.1275561566720258,0.0
S2,5.8254676,7.290629,0.0,7.3057113,1.4385812253264882,0.70626866405496,2.1714300059047518,0.0,0.033916287,0.10338358,0.0,0.09976627,0.038911741328954814,0.04314369181066474,0.11392761347375287,0.0
S3,6.1144986,7.9948683,0.0,8.000828,1.9913642448649047,0.4425165735920637,2.322886158014443,0.0,0.04317352,0.14397046,0.0,0.1423065,0.034130793853219044,0.0474244243871955,0.15039073476764195,0.0
B100_200_250,4.9032173,6.065444,5.918906211853027,6.325214,-0.031070019635364862,1.2536695725491513,2.415895840082563,2.269358113281906,0.047460906,0.078964345,0.12035174667835236,0.039739896,0.08218503862427118,0.05679063559179944,0.07019057428502846,0.17991673446921783
B100_250_300,4.612489,5.7824197,6.242955684661865,6.387646,-0.47525608232724503,1.407127551325375,2.5770583685223385,3.0375938538032443,0.09012221,0.10994303,0.08673624694347382,0.040453546,0.10044532319844753,0.11132870363694441,0.12806849248642305,0.14315039609182165
